1.077K,34,39,Posting/1/1.077K.txt
FBIS3-16778,1,false,false

FBIS3-60486,1,false,false

FBIS4-23084,1,false,false

FBIS4-35062,1,false,false

FBIS4-45413,1,false,false

FBIS4-46889,1,false,false

FBIS4-50822,1,false,false

FBIS4-50706,1,false,false

FBIS4-54626,1,false,false

FBIS4-68781,1,false,false

FT911-2913,2,false,false

FT923-12530,5,false,false

FT924-11749,1,false,false

FT924-15469,1,false,false

FT931-12161,1,false,false

FT932-13261,1,false,false

FT933-2393,1,false,false

FT942-2145,1,false,false

FT944-487,1,false,false

FT944-16754,1,false,false

LA012890-0063,1,false,false

LA021690-0018,1,false,false

LA040589-0136,1,false,false

LA042189-0186,1,false,false

LA050190-0198,1,false,false

LA081389-0042,1,false,false

LA081489-0086,1,false,false

LA101790-0036,1,false,false

LA111090-0127,1,false,false

LA111289-0147,1,false,false

LA111489-0034,1,false,false

LA111490-0054,1,false,false

LA111590-0132,1,false,false

LA111689-0071,1,false,false

