368m,38,38,Posting/3/368m.txt
FT921-8559,1,false,false

FT921-10767,1,false,false

FT921-10758,1,false,false

FT921-10895,1,false,false

FT921-11575,1,false,false

FT921-2796,1,false,false

FT922-11504,1,false,false

FT922-11816,1,false,false

FT923-15711,1,false,false

FT924-5692,1,false,false

FT924-5968,1,false,false

FT924-12747,1,false,false

FT931-9694,1,false,false

FT931-9689,1,false,false

FT931-11482,1,false,false

FT931-11461,1,false,false

FT931-11486,1,false,false

FT931-12215,1,false,false

FT932-3007,1,false,false

FT933-11206,1,false,false

FT933-11098,1,false,false

FT933-13002,1,false,false

FT934-4373,1,false,false

FT941-4576,1,false,false

FT941-6747,1,false,false

FT941-8828,1,false,false

FT941-8845,1,false,false

FT941-16135,1,false,false

FT941-16787,1,false,false

FT942-4986,1,false,false

FT942-3031,1,false,false

FT943-6395,1,false,false

FT943-13458,1,false,false

FT943-15152,1,false,false

FT943-15744,1,false,false

FT943-16298,1,false,false

FT944-765,1,false,false

FT944-12244,1,false,false

