BOTNAR,60,110,Posting/B/BOTNAR.txt
FBIS3-36104,1,false,false

FBIS3-37765,1,false,false

FT921-679,1,false,false

FT921-10579,5,false,false

FT921-11164,1,false,false

FT921-11397,1,false,false

FT921-11622,1,false,false

FT921-11449,2,false,false

FT921-13687,1,false,false

FT921-14775,1,false,false

FT921-14959,5,false,false

FT922-3610,2,false,false

FT922-3837,1,false,false

FT922-4372,3,false,false

FT922-4841,3,false,false

FT922-5360,4,false,false

FT922-9598,1,false,false

FT922-12020,2,false,false

FT922-1673,1,false,false

FT922-2351,2,false,false

FT922-2685,1,false,false

FT923-9794,1,false,false

FT923-9822,2,false,false

FT923-11353,2,false,false

FT923-2503,2,false,false

FT924-4306,1,false,false

FT931-6138,1,false,false

FT931-6120,1,false,false

FT931-6216,1,false,false

FT931-6217,1,false,false

FT931-7841,1,false,false

FT931-7779,1,false,false

FT931-7875,1,false,false

FT931-14513,5,false,false

FT931-14477,5,false,false

FT932-3346,1,false,false

FT932-5764,1,false,false

FT932-632,2,false,false

FT932-634,3,false,false

FT932-633,1,false,false

FT932-7626,1,false,false

FT932-682,2,false,false

FT932-14032,2,false,false

FT933-16322,2,false,false

FT933-16473,2,false,false

FT933-16706,2,false,false

FT933-16699,1,false,false

FT933-16983,1,false,false

FT934-5491,2,false,false

FT934-5776,2,false,false

FT942-3295,1,false,false

FT942-3319,4,false,false

FT944-8391,1,false,false

FT944-8672,4,false,false

FT944-8861,5,false,false

FT944-13584,1,false,false

FT944-15753,1,false,false

FT944-15759,1,false,false

FT944-15819,1,false,false

FT944-1749,1,false,false

