irrelevance,88,88,Posting/i/irrelevance.txt
FBIS3-904,1,false,false

FBIS3-604,1,false,false

FBIS3-6995,1,false,false

FBIS3-40834,1,false,false

FBIS3-53089,1,false,false

FBIS3-59247,1,false,false

FBIS4-7263,1,false,false

FBIS4-18868,1,false,false

FBIS4-42445,1,false,false

FBIS4-52055,1,false,false

FT921-8442,1,false,false

FT921-8739,1,false,false

FT921-9974,1,false,false

FT921-10062,1,false,false

FT921-13177,1,false,false

FT921-14990,1,false,false

FT922-5534,1,false,false

FT922-6162,1,false,false

FT922-3019,1,false,false

FT923-4031,1,false,false

FT923-5564,1,false,false

FT923-6160,1,false,false

FT923-14244,1,false,false

FT924-3679,1,false,false

FT924-3835,1,false,false

FT924-8787,1,false,false

FT924-9606,1,false,false

FT924-11679,1,false,false

FT924-12179,1,false,false

FT924-14513,1,false,false

FT931-5224,1,false,false

FT931-13469,1,false,false

FT931-1321,1,false,false

FT931-15954,1,false,false

FT931-16871,1,false,false

FT931-2019,1,false,false

FT932-8966,1,false,false

FT932-10301,1,false,false

FT932-13080,1,false,false

FT932-17048,1,false,false

FT933-7166,1,false,false

FT933-7171,1,false,false

FT933-13638,1,false,false

FT934-6400,1,false,false

FT934-7022,1,false,false

FT934-7872,1,false,false

FT934-8385,1,false,false

FT934-9819,1,false,false

FT934-13528,1,false,false

FT934-14251,1,false,false

FT934-14911,1,false,false

FT934-2312,1,false,false

FT934-2257,1,false,false

FT941-5486,1,false,false

FT941-691,1,false,false

FT941-8411,1,false,false

FT941-13411,1,false,false

FT942-3593,1,false,false

FT942-10905,1,false,false

FT942-12459,1,false,false

FT942-15104,1,false,false

FT943-4619,1,false,false

FT943-7084,1,false,false

FT943-12973,1,false,false

FT943-14750,1,false,false

FT943-16154,1,false,false

FT943-2625,1,false,false

FT943-3023,1,false,false

FT944-3869,1,false,false

FT944-6331,1,false,false

FT944-504,1,false,false

FT944-642,1,false,false

FT944-12898,1,false,false

FT944-13058,1,false,false

FT944-13220,1,false,false

FT944-15749,1,false,false

FT944-15821,1,false,false

LA030190-0057,1,false,false

LA031990-0063,1,false,false

LA050190-0039,1,false,false

LA060489-0046,1,false,false

LA060490-0003,1,false,false

LA070890-0013,1,false,false

LA071890-0049,1,false,false

LA081990-0041,1,false,false

LA082690-0094,1,false,false

LA090689-0008,1,false,false

LA112290-0193,1,false,false

