offs,29,32,Posting/o/offs.txt
FBIS3-24469,1,false,false

FBIS3-39141,1,false,false

FBIS3-39280,1,false,false

FBIS3-40524,1,false,false

FBIS4-5768,1,false,false

FBIS4-30143,3,false,false

FBIS4-58441,1,false,false

FBIS4-65701,1,false,false

FBIS4-66185,1,false,false

FT921-406,2,false,false

FT921-2328,1,false,false

FT922-15252,1,false,false

FT923-6357,1,false,false

FT923-13035,1,false,false

FT924-9876,1,false,false

FT931-5231,1,false,false

FT931-550,1,false,false

FT932-6440,1,false,false

FT933-7195,1,false,false

FT933-11272,1,false,false

FT934-7558,1,false,false

FT934-13517,1,false,false

FT934-17026,1,false,false

FT934-2841,1,false,false

FT943-445,1,false,false

FT943-16688,1,false,false

FT944-14425,1,false,false

LA073090-0015,1,false,false

LA112790-0115,1,false,false

