SAN GABRIEL MOUNTAINS,62,65,Posting/S/SAN GABRIEL MOUNTAINS.txt
LA010190-0002,1,false,true

LA010989-0070,1,false,true

LA011590-0077,1,false,true

LA012090-0087,1,false,true

LA012590-0259,1,false,true

LA020190-0092,1,false,true

LA022390-0061,1,false,true

LA030190-0120,1,false,true

LA030289-0073,2,false,true

LA030290-0060,1,false,true

LA030390-0023,2,false,true

LA030890-0217,1,false,true

LA031390-0117,1,false,true

LA031789-0098,1,false,true

LA032989-0124,1,false,true

LA033189-0048,1,false,true

LA040189-0074,1,false,true

LA041090-0038,1,false,true

LA041690-0100,1,false,true

LA042789-0177,1,false,true

LA042989-0036,1,false,true

LA050390-0155,1,false,true

LA051090-0254,1,false,true

LA053190-0082,1,false,true

LA060890-0064,1,false,true

LA061090-0100,1,false,true

LA061290-0031,2,false,true

LA062790-0072,1,false,true

LA070190-0195,1,false,true

LA070190-0027,1,false,true

LA070689-0106,1,false,true

LA071990-0208,1,false,true

LA072990-0149,1,false,true

LA080589-0062,1,false,true

LA080889-0095,1,false,true

LA081290-0151,1,false,true

LA081689-0060,1,false,true

LA081890-0063,1,false,true

LA081990-0126,1,false,true

LA082190-0100,1,false,true

LA090589-0116,1,false,true

LA091289-0084,1,false,true

LA091390-0212,1,false,true

LA091390-0087,1,false,true

LA091490-0064,1,false,true

LA100189-0083,1,false,true

LA100390-0094,1,false,true

LA100489-0023,1,false,true

LA100989-0055,1,false,true

LA101190-0180,1,false,true

LA101289-0099,1,false,true

LA101289-0208,1,false,true

LA102290-0112,1,false,true

LA102689-0076,1,false,true

LA102889-0062,1,false,true

LA102889-0024,1,false,true

LA102989-0071,1,false,true

LA111289-0171,1,false,true

LA111390-0021,1,false,true

LA112390-0031,1,false,true

LA120789-0103,1,false,true

LA122789-0035,1,false,true

