kindnes,48,49,Posting/k/kindnes.txt
FBIS3-10262,1,false,false

FBIS3-24906,1,false,false

FBIS3-33850,1,false,false

FBIS3-34435,1,false,false

FBIS3-38041,1,false,false

FBIS3-46629,1,false,false

FBIS3-46527,1,false,false

FBIS3-53077,1,false,false

FBIS3-53027,1,false,false

FBIS4-3631,1,false,false

FBIS4-3835,1,false,false

FBIS4-9152,1,false,false

FBIS4-41113,1,false,false

FBIS4-46940,1,false,false

FBIS4-56335,1,false,false

FBIS4-60256,1,false,false

FBIS4-68754,1,false,false

FT911-2794,1,false,false

FT921-14199,1,false,false

FT922-7569,1,false,false

FT922-13057,1,false,false

FT922-2982,1,false,false

FT923-15472,2,false,false

FT924-9453,1,false,false

FT932-8967,1,false,false

FT932-16724,1,false,false

FT942-12716,1,false,false

LA011189-0086,1,false,false

LA012289-0043,1,false,false

LA021190-0105,1,false,false

LA031190-0005,1,false,false

LA031890-0034,1,false,false

LA032590-0071,1,false,false

LA041090-0175,1,false,false

LA042490-0018,1,false,false

LA042789-0044,1,false,false

LA050289-0075,1,false,false

LA061590-0124,1,false,false

LA061989-0049,1,false,false

LA070690-0122,1,false,false

LA072489-0007,1,false,false

LA072990-0173,1,false,false

LA080489-0152,1,false,false

LA090290-0217,1,false,false

LA093089-0050,1,false,false

LA111789-0084,1,false,false

LA121290-0008,1,false,false

LA122390-0117,1,false,false

