STROJPLAST,1,2,19@0
FBIS3-29,2,false,false
developer,2,2,19@2
FBIS3-23,1,false,false
FBIS3-35,1,false,false
hug,1,1,19@5
FBIS3-45,1,false,false
merger,1,3,19@7
FBIS3-26,3,false,false
reprocessing,1,1,19@9
FBIS3-35,1,false,false
31.3%,1,1,19@11
FBIS3-23,1,false,false
GENOM,1,1,19@13
FBIS3-29,1,false,false
CHIN-SIK,1,1,19@15
FBIS3-23,1,false,false
cylinder-shaped,1,1,19@17
FBIS3-35,1,false,false
warrants,1,2,19@19
FBIS3-29,2,false,false
DRUZE,1,3,19@21
FBIS3-39,3,false,false
readied,1,1,19@23
FBIS3-29,1,false,false
0.5%,1,2,19@25
FBIS3-29,2,false,false
reduce,7,22,19@27
FBIS3-44,1,false,false
FBIS3-23,7,false,false
FBIS3-29,3,false,false
FBIS3-14,1,false,false
FBIS3-26,5,false,false
FBIS3-32,1,false,false
FBIS3-35,4,false,false
EMBRATEL,1,1,19@35
FBIS3-35,1,false,false
9.3 M Dollars,1,1,19@37
FBIS3-23,1,false,false
sensitive,4,4,19@39
FBIS3-14,1,false,false
FBIS3-45,1,false,false
FBIS3-35,1,false,false
FBIS3-29,1,false,false
finalized,1,1,19@44
FBIS3-42,1,false,false
asks,1,2,19@46
FBIS3-23,2,false,false
paragraph,1,1,19@48
FBIS3-35,1,false,false
proportion,4,10,19@50
FBIS3-26,1,false,false
FBIS3-27,1,false,false
FBIS3-29,5,false,false
FBIS3-38,3,false,false
crystal,2,7,19@55
FBIS3-23,1,false,false
FBIS3-35,6,false,false
plate,1,1,19@58
FBIS3-35,1,false,false
mention,5,6,19@60
FBIS3-45,1,false,false
FBIS3-27,1,false,false
FBIS3-28,2,false,false
FBIS3-36,1,false,false
FBIS3-7,1,false,false
740,000 Dollars,1,1,19@66
FBIS3-23,1,false,false
member,15,54,19@68
FBIS3-29,3,false,false
FBIS3-11,1,false,false
FBIS3-14,1,false,false
FBIS3-32,1,false,false
FBIS3-34,1,false,false
FBIS3-27,16,false,false
FBIS3-15,5,false,false
FBIS3-17,15,false,false
