geology,1,1,20@0
FBIS3-17,1,false,false
stricter,1,1,20@2
FBIS3-23,1,false,false
CMOS,1,1,20@4
FBIS3-35,1,false,false
affairs,11,39,20@6
FBIS3-42,2,false,false
FBIS3-43,1,false,false
FBIS3-29,1,false,false
FBIS3-14,4,false,false
FBIS3-46,2,false,false
FBIS3-27,6,false,false
FBIS3-15,6,false,false
FBIS3-19,1,false,false
FBIS3-2,14,false,false
FBIS3-28,1,false,false
FBIS3-8,1,false,false
carried,10,18,20@18
FBIS3-23,4,false,false
FBIS3-11,1,false,false
FBIS3-13,1,false,false
FBIS3-47,1,false,false
FBIS3-29,5,false,false
FBIS3-31,2,false,false
FBIS3-26,1,false,false
FBIS3-2,1,false,false
FBIS3-38,1,false,false
FBIS3-39,1,false,false
considers,2,2,20@29
FBIS3-32,1,false,false
FBIS3-4,1,false,false
11-2O,1,1,20@32
FBIS3-17,1,false,false
motion,1,1,20@34
FBIS3-32,1,false,false
453 M Dollars,1,1,20@36
FBIS3-29,1,false,false
implementation,7,10,20@38
FBIS3-13,1,false,false
FBIS3-26,1,false,false
FBIS3-32,2,false,false
FBIS3-29,2,false,false
FBIS3-37,1,false,false
FBIS3-23,2,false,false
FBIS3-7,1,false,false
spent,6,15,20@46
FBIS3-18,1,false,false
FBIS3-35,1,false,false
FBIS3-29,8,false,false
FBIS3-23,3,false,false
FBIS3-5,1,false,false
FBIS3-6,1,false,false
2.034K,1,1,20@53
FBIS3-23,1,false,false
1/2129Z,1,1,20@55
FBIS3-4,1,false,false
staged,1,1,20@57
FBIS3-39,1,false,false
technically,1,1,20@59
FBIS3-23,1,false,false
HRECHKA,1,1,20@61
FBIS3-38,1,false,false
sequencers,1,1,20@63
FBIS3-35,1,false,false
BAOSHAN,1,3,20@65
FBIS3-23,3,false,false
anticipate,2,3,20@67
FBIS3-26,1,false,false
FBIS3-29,2,false,false
6000 M Dollars,1,1,20@70
FBIS3-23,1,false,false
dignity,2,2,20@72
FBIS3-30,1,false,false
FBIS3-39,1,false,false
nationalist-minded,1,1,20@75
FBIS3-27,1,false,false
power-generating,1,1,20@77
FBIS3-23,1,false,false
demographics,1,2,20@79
FBIS3-26,2,false,false
KOMPAS,1,3,20@81
FBIS3-23,3,false,false
modality,1,1,20@83
FBIS3-36,1,false,false
chips,2,4,20@85
FBIS3-29,1,false,false
FBIS3-35,3,false,false
fundamentalist,1,1,20@88
FBIS3-4,1,false,false
accuracy,2,2,20@90
FBIS3-29,1,false,false
FBIS3-35,1,false,false
scenarios,1,1,20@93
FBIS3-26,1,false,false
16.462,1,1,20@95
FBIS3-35,1,false,false
urge,3,3,20@97
FBIS3-15,1,false,false
FBIS3-32,1,false,false
FBIS3-23,1,false,false
approved,10,38,20@101
FBIS3-29,19,false,false
FBIS3-24,1,false,false
FBIS3-39,1,false,false
FBIS3-40,1,false,false
FBIS3-41,1,false,false
FBIS3-26,2,false,false
FBIS3-46,5,false,false
FBIS3-48,2,false,false
FBIS3-23,5,false,false
FBIS3-38,1,false,false
SHARON,1,1,20@112
FBIS3-35,1,false,false
APPALLED,1,1,20@114
FBIS3-23,1,false,false
investment,9,113,20@116
FBIS3-9,3,false,false
FBIS3-40,9,false,false
FBIS3-26,5,false,false
FBIS3-48,1,false,false
FBIS3-29,44,false,false
FBIS3-23,46,false,false
FBIS3-35,3,false,false
FBIS3-8,1,false,false
FBIS3-37,1,false,false
neutral,1,1,20@126
FBIS3-22,1,false,false
restructuring,4,10,20@128
FBIS3-9,1,false,false
FBIS3-23,2,false,false
FBIS3-29,6,false,false
FBIS3-6,1,false,false
low-density,1,1,20@133
FBIS3-35,1,false,false
04-13,1,6,20@135
FBIS3-27,6,false,false
confederal,1,4,20@137
FBIS3-36,4,false,false
CZECH,1,99,20@139
FBIS3-29,99,false,false
matrix,1,1,20@141
FBIS3-35,1,false,false
result,12,27,20@143
FBIS3-25,1,false,false
FBIS3-11,1,false,false
FBIS3-26,2,false,false
FBIS3-19,2,false,false
FBIS3-4,1,false,false
FBIS3-32,1,false,false
FBIS3-34,1,false,false
FBIS3-29,12,false,false
FBIS3-23,2,false,false
FBIS3-35,2,false,false
FBIS3-7,1,false,false
FBIS3-8,1,false,false
rebuilt,1,1,20@156
FBIS3-23,1,false,false
SERBO-CROATIAN,1,40,20@158
FBIS3-2,40,false,false
linked,10,11,20@160
FBIS3-29,2,false,false
FBIS3-23,1,false,false
FBIS3-24,1,false,false
FBIS3-9,1,false,false
FBIS3-26,1,false,false
FBIS3-46,1,false,false
FBIS3-27,1,false,false
FBIS3-35,1,false,false
FBIS3-5,1,false,false
FBIS3-6,1,false,false
licensed,1,6,20@171
FBIS3-23,6,false,false
MI-8,1,1,20@173
FBIS3-35,1,false,false
BLOUGH,12,12,20@175
FBIS3-38,1,false,false
FBIS3-24,1,false,false
FBIS3-14,1,false,false
FBIS3-42,1,false,false
FBIS3-25,1,false,false
FBIS3-15,1,false,false
FBIS3-46,1,false,false
FBIS3-27,1,false,false
FBIS3-32,1,false,false
FBIS3-34,1,false,false
FBIS3-5,1,false,false
FBIS3-6,1,false,false
accelerated,3,3,20@188
FBIS3-29,1,false,false
FBIS3-27,1,false,false
FBIS3-35,1,false,false
rationale,1,1,20@192
FBIS3-41,1,false,false
reconciliation,4,14,20@194
FBIS3-45,8,false,false
FBIS3-15,1,false,false
FBIS3-32,4,false,false
FBIS3-4,1,false,false
component,3,4,20@199
FBIS3-29,1,false,false
FBIS3-46,2,false,false
FBIS3-27,1,false,false
combined,2,2,20@203
FBIS3-29,1,false,false
FBIS3-26,1,false,false
surgery,1,1,20@206
FBIS3-29,1,false,false
LAVRYNOVYCH,1,1,20@208
FBIS3-38,1,false,false
FRENCH-GERMAN,1,2,20@210
FBIS3-26,2,false,false
dominate,1,1,20@212
FBIS3-23,1,false,false
leave,8,9,20@214
FBIS3-14,1,false,false
FBIS3-39,1,false,false
FBIS3-25,1,false,false
FBIS3-19,2,false,false
FBIS3-47,1,false,false
FBIS3-27,1,false,false
FBIS3-34,1,false,false
FBIS3-49,1,false,false
aspirations,1,2,20@223
FBIS3-27,2,false,false
hardened,1,1,20@225
FBIS3-13,1,false,false
52.723,1,1,20@227
FBIS3-35,1,false,false
internationally,2,3,20@229
FBIS3-26,2,false,false
FBIS3-23,1,false,false
EUROPEAN-MADE,1,1,20@232
FBIS3-29,1,false,false
NORTH-SOUTH,5,10,20@234
FBIS3-13,1,false,false
FBIS3-3,2,false,false
FBIS3-30,3,false,false
FBIS3-22,2,false,false
FBIS3-37,2,false,false
obtaining,2,2,20@240
FBIS3-23,1,false,false
FBIS3-29,1,false,false
retreat,2,4,20@243
FBIS3-41,3,false,false
FBIS3-28,1,false,false
beneficiary,1,1,20@246
FBIS3-26,1,false,false
authority,11,27,20@248
FBIS3-13,1,false,false
FBIS3-41,1,false,false
FBIS3-15,2,false,false
FBIS3-46,6,false,false
FBIS3-30,1,false,false
FBIS3-32,4,false,false
FBIS3-20,1,false,false
FBIS3-29,2,false,false
FBIS3-23,1,false,false
FBIS3-4,1,false,false
FBIS3-6,7,false,false
5-ton,1,1,20@260
FBIS3-35,1,false,false
scholars,2,2,20@262
FBIS3-18,1,false,false
FBIS3-23,1,false,false
103K,1,1,20@265
FBIS3-23,1,false,false
PACIFIC,1,1,20@267
FBIS3-11,1,false,false
TRENCIN,1,1,20@269
FBIS3-29,1,false,false
treachery,1,1,20@271
FBIS3-3,1,false,false
medium,4,7,20@273
FBIS3-29,2,false,false
FBIS3-26,1,false,false
FBIS3-2,1,false,false
FBIS3-23,3,false,false
lent,1,1,20@278
FBIS3-29,1,false,false
laser,2,29,20@280
FBIS3-23,3,false,false
FBIS3-35,26,false,false
hard,7,15,20@283
FBIS3-38,1,false,false
FBIS3-24,1,false,false
FBIS3-26,1,false,false
FBIS3-27,1,false,false
FBIS3-29,8,false,false
FBIS3-23,2,false,false
FBIS3-35,1,false,false
expatriate,2,3,20@291
FBIS3-23,2,false,false
FBIS3-8,1,false,false
1993-06,3,3,20@294
FBIS3-29,1,false,false
FBIS3-14,1,false,false
FBIS3-35,1,false,false
room,4,4,20@298
FBIS3-47,1,false,false
FBIS3-29,1,false,false
FBIS3-23,1,false,false
FBIS3-35,1,false,false
permissible,1,1,20@303
FBIS3-6,1,false,false
UOU,1,1,20@305
FBIS3-27,1,false,false
referred,3,4,20@307
FBIS3-48,1,false,false
FBIS3-22,1,false,false
FBIS3-7,2,false,false
4.9,1,1,20@311
FBIS3-23,1,false,false
768.8 M Dollars,1,1,20@313
FBIS3-29,1,false,false
college,2,6,20@315
FBIS3-26,5,false,false
FBIS3-19,1,false,false
RAHMAN,1,1,20@318
FBIS3-19,1,false,false
told,14,41,20@320
FBIS3-38,1,false,false
FBIS3-29,12,false,false
FBIS3-24,1,false,false
FBIS3-14,6,false,false
FBIS3-39,2,false,false
FBIS3-40,2,false,false
FBIS3-42,2,false,false
FBIS3-43,2,false,false
FBIS3-44,1,false,false
FBIS3-45,1,false,false
FBIS3-27,8,false,false
FBIS3-34,1,false,false
FBIS3-28,1,false,false
FBIS3-49,1,false,false
HO,2,4,20@335
FBIS3-3,1,false,false
FBIS3-23,3,false,false
unpaid,1,1,20@338
FBIS3-29,1,false,false
growers,1,1,20@340
FBIS3-29,1,false,false
preemptive,1,1,20@342
FBIS3-13,1,false,false
responding,6,7,20@344
FBIS3-11,1,false,false
FBIS3-42,1,false,false
FBIS3-26,2,false,false
FBIS3-32,1,false,false
FBIS3-23,1,false,false
FBIS3-36,1,false,false
nanometer,1,1,20@351
FBIS3-35,1,false,false
reinforce,2,3,20@353
FBIS3-26,2,false,false
FBIS3-49,1,false,false
dailies,1,1,20@356
FBIS3-23,1,false,false
ID,1,1,20@358
FBIS3-45,1,false,false
write,4,4,20@360
FBIS3-48,1,false,false
FBIS3-27,1,false,false
FBIS3-35,1,false,false
FBIS3-29,1,false,false
0730-0015,1,1,20@365
FBIS3-2,1,false,false
distributed,2,3,20@367
FBIS3-29,2,false,false
FBIS3-2,1,false,false
upbeat,4,7,20@370
FBIS3-9,1,false,false
FBIS3-11,2,false,false
FBIS3-42,3,false,false
FBIS3-3,1,false,false
50-percent,1,1,20@375
FBIS3-23,1,false,false
300B,2,2,20@377
FBIS3-29,1,false,false
FBIS3-35,1,false,false
partial,3,3,20@380
FBIS3-29,1,false,false
FBIS3-15,1,false,false
FBIS3-35,1,false,false
weapons,11,23,20@384
FBIS3-11,2,false,false
FBIS3-44,1,false,false
FBIS3-26,3,false,false
FBIS3-2,2,false,false
FBIS3-48,3,false,false
FBIS3-30,2,false,false
FBIS3-31,1,false,false
FBIS3-27,3,false,false
FBIS3-28,2,false,false
FBIS3-49,3,false,false
FBIS3-29,1,false,false
non-diversion,1,2,20@396
FBIS3-47,2,false,false
1.3M,2,3,20@398
FBIS3-23,1,false,false
FBIS3-29,2,false,false
OMELCHENKO,1,15,20@401
FBIS3-27,15,false,false
HANAK,1,1,20@403
FBIS3-29,1,false,false
mandatory,3,7,20@405
FBIS3-26,1,false,false
FBIS3-29,5,false,false
FBIS3-23,1,false,false
tainted,1,1,20@409
FBIS3-23,1,false,false
irons,1,1,20@411
FBIS3-26,1,false,false
FRENCH-LANGUAGE,1,1,20@413
FBIS3-4,1,false,false
SCHMIDTBAUER,1,2,20@415
FBIS3-29,2,false,false
decisions,9,13,20@417
FBIS3-29,1,false,false
FBIS3-23,1,false,false
FBIS3-14,1,false,false
FBIS3-40,1,false,false
FBIS3-15,1,false,false
FBIS3-19,1,false,false
FBIS3-48,1,false,false
FBIS3-32,1,false,false
FBIS3-27,5,false,false
violence,1,1,20@427
FBIS3-6,1,false,false
MALAYSIAN,1,1,20@429
FBIS3-23,1,false,false
robust,1,1,20@431
FBIS3-27,1,false,false
pumps,1,1,20@433
FBIS3-29,1,false,false
dispel,1,1,20@435
FBIS3-27,1,false,false
SHAKHRAY,2,30,20@437
FBIS3-15,25,false,false
FBIS3-46,5,false,false
picture-in-picture,1,1,20@440
FBIS3-23,1,false,false
attributes,1,2,20@442
FBIS3-23,2,false,false
1.4B,1,1,20@444
FBIS3-23,1,false,false
swap-related,1,1,20@446
FBIS3-23,1,false,false
displeasure,1,1,20@448
FBIS3-24,1,false,false
1.5K,3,5,20@450
FBIS3-10,1,false,false
FBIS3-29,3,false,false
FBIS3-35,1,false,false
capped,1,1,20@454
FBIS3-11,1,false,false
manner,4,5,20@456
FBIS3-39,1,false,false
