world-market,1,1,21@0
FBIS3-29,1,false,false
FINANCE MINISTRY,2,9,21@2
FBIS3-26,1,false,true
FBIS3-29,8,false,true
9.72K,1,1,21@5
FBIS3-2,1,false,false
615M,1,1,21@7
FBIS3-29,1,false,false
VA,1,1,21@9
FBIS3-2,1,false,false
allegedly,6,7,21@11
FBIS3-2,1,false,false
FBIS3-3,1,false,false
FBIS3-48,1,false,false
FBIS3-27,1,false,false
FBIS3-34,1,false,false
FBIS3-49,2,false,false
1.225K,1,2,21@18
FBIS3-29,2,false,false
involved,7,20,21@20
FBIS3-29,6,false,false
FBIS3-40,1,false,false
FBIS3-26,1,false,false
FBIS3-14,1,false,false
FBIS3-27,1,false,false
FBIS3-23,9,false,false
FBIS3-6,1,false,false
1.991K,8,46,21@28
FBIS3-29,10,false,false
FBIS3-43,1,false,false
FBIS3-2,1,false,false
FBIS3-32,4,false,false
FBIS3-27,25,false,false
FBIS3-23,3,false,false
FBIS3-35,1,false,false
FBIS3-6,1,false,false
FOKIN,1,1,21@37
FBIS3-38,1,false,false
CHECHILO,1,1,21@39
FBIS3-27,1,false,false
worst,2,2,21@41
FBIS3-12,1,false,false
FBIS3-49,1,false,false
employees,7,47,21@44
FBIS3-8,3,false,false
FBIS3-29,19,false,false
FBIS3-26,4,false,false
FBIS3-14,2,false,false
FBIS3-20,1,false,false
FBIS3-23,17,false,false
FBIS3-6,1,false,false
fields,3,8,21@52
FBIS3-26,1,false,false
FBIS3-29,5,false,false
FBIS3-23,2,false,false
wars,1,1,21@56
FBIS3-29,1,false,false
tika,1,2,21@58
FBIS3-2,2,false,false
full,13,21,21@60
FBIS3-29,2,false,false
FBIS3-13,2,false,false
FBIS3-39,1,false,false
FBIS3-41,1,false,false
FBIS3-26,3,false,false
FBIS3-15,1,false,false
FBIS3-46,1,false,false
FBIS3-32,2,false,false
FBIS3-20,1,false,false
FBIS3-21,1,false,false
FBIS3-23,2,false,false
FBIS3-35,3,false,false
FBIS3-7,1,false,false
cards,1,1,21@74
FBIS3-29,1,false,false
absence,3,3,21@76
FBIS3-3,1,false,false
FBIS3-32,1,false,false
FBIS3-7,1,false,false
video,4,7,21@80
FBIS3-41,1,false,false
FBIS3-49,2,false,false
FBIS3-35,2,false,false
FBIS3-23,2,false,false
summit,4,10,21@85
FBIS3-11,3,false,false
FBIS3-3,1,false,false
FBIS3-30,4,false,false
FBIS3-5,2,false,false
recession,3,8,21@90
FBIS3-29,5,false,false
FBIS3-23,2,false,false
FBIS3-26,1,false,false
18/0041z,1,1,21@94
FBIS3-45,1,false,false
09-18,2,3,21@96
FBIS3-48,1,false,false
FBIS3-27,2,false,false
courageous,1,1,21@99
FBIS3-23,1,false,false
MATHIAS,1,1,21@101
FBIS3-29,1,false,false
news,19,51,21@103
FBIS3-38,1,false,false
FBIS3-24,4,false,false
FBIS3-9,1,false,false
FBIS3-39,1,false,false
FBIS3-40,5,false,false
FBIS3-26,1,false,false
FBIS3-14,2,false,false
FBIS3-2,15,false,false
FBIS3-3,2,false,false
FBIS3-45,3,false,false
FBIS3-27,2,false,false
FBIS3-34,1,false,false
FBIS3-20,1,false,false
FBIS3-49,1,false,false
FBIS3-29,5,false,false
FBIS3-23,1,false,false
FBIS3-6,2,false,false
FBIS3-7,1,false,false
FBIS3-37,2,false,false
unjust,2,2,21@123
FBIS3-47,1,false,false
FBIS3-31,1,false,false
POLISH-SWEDISH,1,1,21@126
FBIS3-29,1,false,false
resolving,2,2,21@128
FBIS3-29,1,false,false
FBIS3-30,1,false,false
center,8,37,21@131
FBIS3-38,1,false,false
FBIS3-29,8,false,false
FBIS3-14,2,false,false
FBIS3-2,1,false,false
FBIS3-19,2,false,false
FBIS3-46,1,false,false
FBIS3-23,17,false,false
FBIS3-35,5,false,false
lowering,2,5,21@140
FBIS3-26,3,false,false
FBIS3-23,2,false,false
saturated,2,2,21@143
FBIS3-23,1,false,false
FBIS3-35,1,false,false
engineer,1,1,21@146
FBIS3-23,1,false,false
30-50,1,1,21@148
FBIS3-29,1,false,false
ANATOLIY,2,3,21@150
FBIS3-38,1,false,false
FBIS3-6,2,false,false
wages,4,13,21@153
FBIS3-26,4,false,false
FBIS3-18,1,false,false
FBIS3-29,6,false,false
FBIS3-23,2,false,false
assuming,3,3,21@158
FBIS3-23,1,false,false
FBIS3-31,1,false,false
FBIS3-49,1,false,false
observing,1,2,21@162
FBIS3-23,2,false,false
applications,4,27,21@164
FBIS3-26,2,false,false
FBIS3-35,14,false,false
FBIS3-29,2,false,false
FBIS3-23,9,false,false
leader,21,51,21@169
FBIS3-38,15,false,false
FBIS3-1,3,false,false
FBIS3-23,7,false,false
FBIS3-24,3,false,false
FBIS3-25,1,false,false
FBIS3-9,1,false,false
FBIS3-39,1,false,false
FBIS3-41,3,false,false
FBIS3-42,1,false,false
FBIS3-29,1,false,false
FBIS3-15,1,false,false
FBIS3-46,1,false,false
FBIS3-48,1,false,false
FBIS3-30,1,false,false
FBIS3-32,2,false,false
FBIS3-27,4,false,false
FBIS3-34,1,false,false
FBIS3-49,1,false,false
FBIS3-4,1,false,false
FBIS3-5,1,false,false
FBIS3-7,1,false,false
POLITIKA,2,5,21@191
FBIS3-2,4,false,false
FBIS3-36,1,false,false
06/0033Z,1,1,21@194
FBIS3-18,1,false,false
unsold,1,1,21@196
FBIS3-29,1,false,false
electoral,3,4,21@198
FBIS3-38,1,false,false
FBIS3-27,2,false,false
FBIS3-29,1,false,false
circles,4,8,21@202
FBIS3-42,1,false,false
FBIS3-29,2,false,false
FBIS3-27,1,false,false
FBIS3-23,4,false,false
YBARRA,1,3,21@207
FBIS3-26,3,false,false
INDUSTRIAL ECONOMICS,2,2,21@209
FBIS3-35,1,false,true
FBIS3-23,1,false,true
put,10,22,21@212
FBIS3-38,1,false,false
FBIS3-29,6,false,false
FBIS3-14,2,false,false
FBIS3-45,1,false,false
FBIS3-46,1,false,false
FBIS3-30,1,false,false
FBIS3-32,4,false,false
FBIS3-27,1,false,false
FBIS3-23,3,false,false
FBIS3-5,2,false,false
