branches,5,16,44@0
FBIS3-29,8,false,false
FBIS3-18,1,false,false
FBIS3-32,2,false,false
FBIS3-23,3,false,false
FBIS3-6,2,false,false
activism,1,1,44@6
FBIS3-42,1,false,false
KC7,834,1,1,44@8
FBIS3-29,1,false,false
disloyalty,1,2,44@10
FBIS3-27,2,false,false
AFGHANISTAN,2,2,44@12
FBIS3-11,1,false,false
FBIS3-19,1,false,false
thrust,3,6,44@15
FBIS3-42,1,false,false
FBIS3-32,1,false,false
FBIS3-35,4,false,false
repression,1,1,44@19
FBIS3-3,1,false,false
1.95M,1,1,44@21
FBIS3-23,1,false,false
judges,1,4,44@23
FBIS3-23,4,false,false
line,13,26,44@25
FBIS3-29,7,false,false
FBIS3-13,1,false,false
FBIS3-42,2,false,false
FBIS3-44,1,false,false
FBIS3-45,1,false,false
FBIS3-46,2,false,false
FBIS3-30,1,false,false
FBIS3-26,1,false,false
FBIS3-14,1,false,false
FBIS3-32,2,false,false
FBIS3-23,3,false,false
FBIS3-35,2,false,false
FBIS3-4,2,false,false
15-percent,1,1,44@39
FBIS3-26,1,false,false
01-15,4,8,44@41
FBIS3-29,3,false,false
FBIS3-23,2,false,false
FBIS3-27,2,false,false
FBIS3-38,1,false,false
error,1,1,44@46
FBIS3-1,1,false,false
restructure,3,4,44@48
FBIS3-29,2,false,false
FBIS3-23,1,false,false
FBIS3-44,1,false,false
1.503K,1,1,44@52
FBIS3-29,1,false,false
numerical,3,9,44@54
FBIS3-23,1,false,false
FBIS3-43,5,false,false
FBIS3-44,3,false,false
ROSSIYA,2,7,44@58
FBIS3-46,2,false,false
FBIS3-32,5,false,false
operations,11,35,44@61
FBIS3-40,1,false,false
FBIS3-26,2,false,false
FBIS3-8,1,false,false
FBIS3-11,1,false,false
FBIS3-18,1,false,false
FBIS3-35,1,false,false
FBIS3-36,1,false,false
FBIS3-29,6,false,false
FBIS3-23,19,false,false
FBIS3-5,1,false,false
FBIS3-6,1,false,false
220 M Dollars,1,1,44@73
FBIS3-23,1,false,false
ultimatum,2,5,44@75
FBIS3-47,1,false,false
FBIS3-48,4,false,false
VIDOMOSTI,1,2,44@78
FBIS3-38,2,false,false
idle,3,4,44@80
FBIS3-29,1,false,false
FBIS3-48,2,false,false
FBIS3-49,1,false,false
groups,11,38,44@84
FBIS3-40,1,false,false
FBIS3-29,6,false,false
FBIS3-26,4,false,false
FBIS3-14,1,false,false
FBIS3-2,1,false,false
FBIS3-32,1,false,false
FBIS3-27,8,false,false
FBIS3-23,7,false,false
FBIS3-35,1,false,false
FBIS3-7,1,false,false
FBIS3-38,7,false,false
decried,2,3,44@96
FBIS3-27,2,false,false
FBIS3-5,1,false,false
120K,1,1,44@99
FBIS3-29,1,false,false
fans,1,2,44@101
FBIS3-23,2,false,false
4,000-5,000,1,1,44@103
