pre-paid,1,1,50@0
FBIS3-29,1,false,false
07/2130z,1,1,50@2
FBIS3-14,1,false,false
FRENCH-AUSTRIAN-HUNGARIAN,1,1,50@4
FBIS3-29,1,false,false
bloc,5,13,50@6
FBIS3-32,6,false,false
FBIS3-27,2,false,false
FBIS3-16,1,false,false
FBIS3-38,3,false,false
FBIS3-29,1,false,false
5.57M,1,2,50@12
FBIS3-26,2,false,false
proposed,9,24,50@14
FBIS3-30,1,false,false
FBIS3-26,1,false,false
FBIS3-32,2,false,false
FBIS3-3,1,false,false
FBIS3-35,3,false,false
FBIS3-36,2,false,false
FBIS3-23,5,false,false
FBIS3-40,1,false,false
FBIS3-29,8,false,false
one-tenth,1,1,50@24
FBIS3-26,1,false,false
CORP,1,10,50@26
FBIS3-23,10,false,false
newscast,2,2,50@28
FBIS3-2,1,false,false
FBIS3-24,1,false,false
spinning,1,2,50@31
FBIS3-23,2,false,false
embassy,2,2,50@33
FBIS3-17,1,false,false
FBIS3-24,1,false,false
dinar,1,3,50@36
FBIS3-48,3,false,false
01-17,6,15,50@38
FBIS3-46,1,false,false
FBIS3-32,3,false,false
FBIS3-35,1,false,false
FBIS3-29,6,false,false
FBIS3-23,2,false,false
FBIS3-8,2,false,false
KHRISTO,1,2,50@45
FBIS3-29,2,false,false
1.721K,1,1,50@47
FBIS3-29,1,false,false
terrorist,3,4,50@49
FBIS3-29,1,false,false
FBIS3-4,2,false,false
FBIS3-8,1,false,false
L9.7,1,1,50@53
FBIS3-35,1,false,false
PERIODICAL,1,1,50@55
FBIS3-2,1,false,false
self-initiated,1,1,50@57
FBIS3-23,1,false,false
costs,3,35,50@59
FBIS3-26,8,false,false
FBIS3-29,17,false,false
FBIS3-23,10,false,false
berserk,1,1,50@63
FBIS3-5,1,false,false
aims,5,6,50@65
FBIS3-14,1,false,false
FBIS3-47,1,false,false
FBIS3-2,1,false,false
FBIS3-29,2,false,false
FBIS3-8,1,false,false
MONGOLIAN,2,3,50@71
FBIS3-17,2,false,false
FBIS3-18,1,false,false
limited,11,24,50@74
FBIS3-45,1,false,false
FBIS3-26,1,false,false
FBIS3-34,2,false,false
FBIS3-28,1,false,false
FBIS3-15,1,false,false
FBIS3-35,1,false,false
FBIS3-37,1,false,false
FBIS3-29,5,false,false
FBIS3-38,4,false,false
FBIS3-39,2,false,false
FBIS3-23,5,false,false
weakest,1,1,50@86
FBIS3-38,1,false,false
120M,1,1,50@88
FBIS3-26,1,false,false
controversy,3,4,50@90
FBIS3-26,2,false,false
FBIS3-9,1,false,false
FBIS3-42,1,false,false
ultimately,3,4,50@94
FBIS3-35,2,false,false
FBIS3-23,1,false,false
FBIS3-40,1,false,false
mains,1,1,50@98
FBIS3-29,1,false,false
eighty-five,1,2,50@100
FBIS3-27,2,false,false
conformed,1,1,50@102
FBIS3-26,1,false,false
lay-offs,1,1,50@104
FBIS3-29,1,false,false
CHONG,1,1,50@106
FBIS3-3,1,false,false
unanimous,1,1,50@108
FBIS3-46,1,false,false
oscillation,1,1,50@110
FBIS3-35,1,false,false
endorses,1,1,50@112
FBIS3-29,1,false,false
persistent,1,1,50@114
FBIS3-45,1,false,false
daring,1,1,50@116
FBIS3-19,1,false,false
HOF,1,2,50@118
FBIS3-26,2,false,false
LEFT,1,1,50@120
FBIS3-26,1,false,false
newsmen,1,1,50@122
FBIS3-14,1,false,false
JST,1,7,50@124
FBIS3-35,7,false,false
community,9,14,50@126
FBIS3-45,1,false,false
FBIS3-34,2,false,false
FBIS3-28,1,false,false
FBIS3-17,1,false,false
FBIS3-2,1,false,false
FBIS3-36,1,false,false
FBIS3-23,1,false,false
FBIS3-39,2,false,false
FBIS3-9,4,false,false
shaking,1,1,50@136
FBIS3-49,1,false,false
PAMUKCHIEV,1,2,50@138
FBIS3-29,2,false,false
journalist,2,2,50@140
FBIS3-2,1,false,false
FBIS3-39,1,false,false
THAILAND,2,10,50@143
FBIS3-26,1,false,false
FBIS3-23,9,false,false
charges,9,12,50@146
FBIS3-26,1,false,false
FBIS3-32,1,false,false
FBIS3-47,2,false,false
FBIS3-49,2,false,false
FBIS3-27,1,false,false
FBIS3-19,1,false,false
FBIS3-5,1,false,false
FBIS3-29,1,false,false
FBIS3-23,2,false,false
84.8%,1,1,50@156
FBIS3-23,1,false,false
12.3-inch,1,1,50@158
FBIS3-35,1,false,false
left,8,9,50@160
FBIS3-10,1,false,false
FBIS3-27,1,false,false
FBIS3-19,2,false,false
FBIS3-36,1,false,false
FBIS3-38,1,false,false
FBIS3-29,1,false,false
FBIS3-7,1,false,false
FBIS3-44,1,false,false
17.2%,1,1,50@169
FBIS3-29,1,false,false
