PAN,1,2,58@0
FBIS3-23,2,false,false
interview,18,30,58@2
FBIS3-29,6,false,false
FBIS3-9,1,false,false
FBIS3-36,1,false,false
FBIS3-25,1,false,false
FBIS3-14,1,false,false
FBIS3-15,1,false,false
FBIS3-16,2,false,false
FBIS3-3,1,false,false
FBIS3-38,1,false,false
FBIS3-39,3,false,false
FBIS3-41,1,false,false
FBIS3-42,1,false,false
FBIS3-44,2,false,false
FBIS3-27,3,false,false
FBIS3-28,1,false,false
FBIS3-5,1,false,false
FBIS3-6,2,false,false
FBIS3-34,1,false,false
bed,1,1,58@21
FBIS3-8,1,false,false
quantities,2,2,58@23
FBIS3-35,1,false,false
FBIS3-8,1,false,false
03-18,3,5,58@26
FBIS3-27,1,false,false
FBIS3-47,3,false,false
FBIS3-49,1,false,false
attacks,8,11,58@30
FBIS3-13,2,false,false
FBIS3-3,1,false,false
FBIS3-4,1,false,false
FBIS3-22,1,false,false
FBIS3-30,3,false,false
FBIS3-27,1,false,false
FBIS3-7,1,false,false
FBIS3-49,1,false,false
reconvene,1,1,58@39
FBIS3-23,1,false,false
programming,1,2,58@41
FBIS3-6,2,false,false
possibly,4,5,58@43
FBIS3-36,1,false,false
FBIS3-16,1,false,false
FBIS3-6,1,false,false
FBIS3-32,2,false,false
midsize,1,1,58@48
FBIS3-26,1,false,false
enclaves,2,2,58@50
FBIS3-36,1,false,false
FBIS3-25,1,false,false
price-to,1,1,58@53
FBIS3-29,1,false,false
agreements,10,27,58@55
FBIS3-35,1,false,false
FBIS3-24,2,false,false
FBIS3-29,5,false,false
FBIS3-43,1,false,false
FBIS3-44,1,false,false
FBIS3-23,8,false,false
FBIS3-46,6,false,false
FBIS3-7,1,false,false
FBIS3-49,1,false,false
FBIS3-34,1,false,false
94-010,1,1,58@66
FBIS3-26,1,false,false
CIS,5,5,58@68
FBIS3-26,1,false,false
FBIS3-17,1,false,false
FBIS3-18,1,false,false
FBIS3-42,1,false,false
FBIS3-6,1,false,false
parliamentarianism,1,1,58@74
FBIS3-32,1,false,false
85.9%,1,1,58@76
FBIS3-23,1,false,false
embraced,1,2,58@78
FBIS3-4,2,false,false
temptation,1,1,58@80
FBIS3-48,1,false,false
670 M Dollars,1,1,58@82
FBIS3-23,1,false,false
ANDRIY,1,1,58@84
FBIS3-27,1,false,false
impossibility,1,2,58@86
FBIS3-7,2,false,false
medium-sized,4,8,58@88
FBIS3-29,4,false,false
FBIS3-35,1,false,false
FBIS3-26,2,false,false
FBIS3-23,1,false,false
primarily,4,6,58@93
FBIS3-8,1,false,false
FBIS3-2,1,false,false
FBIS3-26,2,false,false
FBIS3-29,2,false,false
preempt,1,1,58@98
FBIS3-6,1,false,false
tabloid-style,1,1,58@100
FBIS3-2,1,false,false
indignantly,1,1,58@102
FBIS3-5,1,false,false
continuation,2,2,58@104
FBIS3-7,1,false,false
FBIS3-48,1,false,false
lumber,2,2,58@107
FBIS3-23,1,false,false
FBIS3-29,1,false,false
mayors,1,1,58@110
FBIS3-29,1,false,false
concerns,5,5,58@112
FBIS3-11,1,false,false
FBIS3-42,1,false,false
FBIS3-27,1,false,false
FBIS3-28,1,false,false
FBIS3-23,1,false,false
SINGAPOREAN,1,1,58@118
FBIS3-23,1,false,false
0.75%,1,1,58@120
FBIS3-23,1,false,false
500,4,6,58@122
FBIS3-29,2,false,false
FBIS3-35,2,false,false
FBIS3-38,1,false,false
FBIS3-23,1,false,false
management,4,28,58@127
FBIS3-2,1,false,false
FBIS3-29,14,false,false
FBIS3-26,1,false,false
FBIS3-23,12,false,false
interpret,1,1,58@132
FBIS3-19,1,false,false
diplomas,1,1,58@134
FBIS3-23,1,false,false
farmer,1,1,58@136
FBIS3-29,1,false,false
