nationals,1,1,9@0
FBIS3-23,1,false,false
run,9,20,9@2
FBIS3-29,3,false,false
FBIS3-14,2,false,false
FBIS3-27,3,false,false
FBIS3-38,6,false,false
FBIS3-23,2,false,false
FBIS3-24,1,false,false
FBIS3-6,1,false,false
FBIS3-8,1,false,false
FBIS3-44,1,false,false
inter-governmental,1,1,9@12
FBIS3-29,1,false,false
one-fourth,1,2,9@14
FBIS3-23,2,false,false
PALLATI,1,1,9@16
FBIS3-2,1,false,false
ANTICIPATING,1,1,9@18
FBIS3-23,1,false,false
budget,7,46,9@20
FBIS3-46,1,false,false
FBIS3-26,2,false,false
FBIS3-14,3,false,false
FBIS3-48,1,false,false
FBIS3-35,10,false,false
FBIS3-23,2,false,false
FBIS3-29,27,false,false
MADRID,1,2,9@28
FBIS3-26,2,false,false
GHAZI,1,1,9@30
FBIS3-45,1,false,false
engineering,3,13,9@32
FBIS3-35,3,false,false
FBIS3-23,5,false,false
FBIS3-29,5,false,false
KIEV,3,41,9@36
FBIS3-29,1,false,false
FBIS3-27,18,false,false
FBIS3-38,22,false,false
KIM,5,10,9@40
FBIS3-30,1,false,false
FBIS3-13,2,false,false
FBIS3-49,1,false,false
FBIS3-22,1,false,false
FBIS3-3,5,false,false
3.9%,1,1,9@46
FBIS3-23,1,false,false
improving,4,11,9@48
FBIS3-18,1,false,false
FBIS3-29,1,false,false
FBIS3-23,8,false,false
FBIS3-42,1,false,false
exposing,1,1,9@53
FBIS3-8,1,false,false
leads,1,1,9@55
FBIS3-28,1,false,false
380 M Dollars,1,1,9@57
FBIS3-29,1,false,false
memory,3,3,9@59
FBIS3-35,1,false,false
FBIS3-28,1,false,false
FBIS3-23,1,false,false
mood,1,1,9@63
FBIS3-27,1,false,false
attract,5,6,9@65
FBIS3-32,1,false,false
FBIS3-4,1,false,false
FBIS3-29,2,false,false
FBIS3-23,1,false,false
FBIS3-8,1,false,false
anti-israel,1,2,9@71
FBIS3-7,2,false,false
1.555K,1,1,9@73
FBIS3-29,1,false,false
RITSUKO,1,2,9@75
FBIS3-35,2,false,false
lifting,4,7,9@77
FBIS3-48,4,false,false
FBIS3-28,1,false,false
FBIS3-23,1,false,false
FBIS3-36,1,false,false
150-km,1,1,9@82
FBIS3-29,1,false,false
early,12,29,9@84
FBIS3-1,1,false,false
FBIS3-30,2,false,false
FBIS3-14,4,false,false
FBIS3-27,4,false,false
FBIS3-35,1,false,false
FBIS3-28,2,false,false
FBIS3-21,1,false,false
FBIS3-2,1,false,false
FBIS3-4,1,false,false
FBIS3-37,1,false,false
FBIS3-29,3,false,false
FBIS3-23,8,false,false
shoe,1,1,9@97
FBIS3-23,1,false,false
275-kilogram,1,1,9@99
FBIS3-35,1,false,false
hours,7,28,9@101
FBIS3-26,3,false,false
FBIS3-35,1,false,false
FBIS3-2,16,false,false
FBIS3-23,1,false,false
FBIS3-29,5,false,false
FBIS3-24,1,false,false
FBIS3-6,1,false,false
evaluations,1,1,9@109
FBIS3-23,1,false,false
YANTRA,1,1,9@111
FBIS3-29,1,false,false
41.8B,1,1,9@113
FBIS3-29,1,false,false
consultative,2,3,9@115
FBIS3-14,2,false,false
FBIS3-29,1,false,false
characteristically,1,2,9@118
FBIS3-27,2,false,false
EVOLUTION,1,1,9@120
FBIS3-27,1,false,false
21.1%,1,2,9@122
FBIS3-29,2,false,false
infrastructure,3,18,9@124
FBIS3-29,10,false,false
FBIS3-23,4,false,false
FBIS3-6,4,false,false
heinous,1,1,9@128
FBIS3-13,1,false,false
seven-year,1,1,9@130
FBIS3-23,1,false,false
risk,5,20,9@132
FBIS3-26,3,false,false
FBIS3-37,1,false,false
FBIS3-23,7,false,false
FBIS3-29,8,false,false
FBIS3-44,1,false,false
15.5,1,1,9@138
FBIS3-26,1,false,false
HUF15.4,1,1,9@140
FBIS3-29,1,false,false
unquestionably,1,1,9@142
FBIS3-34,1,false,false
container,2,2,9@144
FBIS3-23,1,false,false
FBIS3-29,1,false,false
6-15,1,1,9@147
FBIS3-14,1,false,false
1060 M Dollars,1,1,9@149
FBIS3-23,1,false,false
200er,1,1,9@151
FBIS3-29,1,false,false
SOVIET UNION,4,8,9@153
FBIS3-17,1,false,true
FBIS3-27,3,false,true
FBIS3-35,1,false,true
FBIS3-29,3,false,true
confederative,1,1,9@158
FBIS3-46,1,false,false
1.339K,1,1,9@160
FBIS3-29,1,false,false
measures,14,56,9@162
FBIS3-26,2,false,false
FBIS3-49,2,false,false
FBIS3-32,2,false,false
FBIS3-27,1,false,false
FBIS3-34,1,false,false
FBIS3-35,5,false,false
FBIS3-19,1,false,false
FBIS3-23,7,false,false
FBIS3-29,3,false,false
FBIS3-40,21,false,false
FBIS3-8,1,false,false
FBIS3-43,2,false,false
FBIS3-44,7,false,false
FBIS3-45,1,false,false
doubly,1,1,9@177
FBIS3-32,1,false,false
suppression,2,2,9@179
FBIS3-26,1,false,false
FBIS3-28,1,false,false
formalized,1,1,9@182
FBIS3-20,1,false,false
item,1,1,9@184
FBIS3-37,1,false,false
double,4,9,9@186
FBIS3-26,2,false,false
FBIS3-29,3,false,false
FBIS3-23,3,false,false
FBIS3-5,1,false,false
comprising,1,1,9@191
FBIS3-29,1,false,false
instituted,2,4,9@193
FBIS3-26,2,false,false
FBIS3-23,2,false,false
EAG,16,16,9@196
FBIS3-47,1,false,false
FBIS3-30,1,false,false
FBIS3-9,1,false,false
FBIS3-10,1,false,false
FBIS3-11,1,false,false
FBIS3-12,1,false,false
FBIS3-13,1,false,false
FBIS3-49,1,false,false
FBIS3-31,1,false,false
FBIS3-33,1,false,false
FBIS3-21,1,false,false
FBIS3-22,1,false,false
FBIS3-3,1,false,false
FBIS3-37,1,false,false
FBIS3-40,1,false,false
FBIS3-43,1,false,false
GALLUP,1,1,9@213
FBIS3-1,1,false,false
extraction,1,8,9@215
FBIS3-29,8,false,false
unification,2,3,9@217
FBIS3-13,2,false,false
FBIS3-16,1,false,false
rule-of-law,1,1,9@220
FBIS3-46,1,false,false
1600 M Dollars,1,1,9@222
FBIS3-23,1,false,false
ships,3,9,9@224
FBIS3-27,1,false,false
FBIS3-23,7,false,false
FBIS3-29,1,false,false
47.3K,1,1,9@228
FBIS3-29,1,false,false
clarified,2,2,9@230
FBIS3-32,1,false,false
FBIS3-42,1,false,false
DOME,1,1,9@233
FBIS3-45,1,false,false
CAROLINA,1,1,9@235
FBIS3-26,1,false,false
enterprise,3,23,9@237
FBIS3-2,2,false,false
FBIS3-23,7,false,false
FBIS3-29,14,false,false
direct,14,27,9@241
FBIS3-46,1,false,false
FBIS3-14,1,false,false
FBIS3-15,1,false,false
FBIS3-32,1,false,false
FBIS3-27,2,false,false
FBIS3-35,2,false,false
FBIS3-23,3,false,false
FBIS3-29,9,false,false
FBIS3-5,1,false,false
